Thread ID: 1139580
Total: 9.304486

 %self     total     self     wait    child    calls  name
 10.17      2.36     0.95     0.00     1.42    30000  Fixnum#xchr
  4.05      0.57     0.38     0.00     0.19    90000  Kernel#===
  2.84      0.40     0.26     0.00     0.13    61022  Hash#[]
  2.12      0.32     0.20     0.00     0.12    30000  Range#===
  2.02      0.19     0.19     0.00     0.00    90002  Fixnum#==
  1.64      2.52     0.15     0.00     2.36     3002  Array#map
  1.43      0.13     0.13     0.00     0.00    61001  Hash#default
  1.34      0.12     0.12     0.00     0.00    60050  Fixnum#<=>
  1.10      6.32     0.10     0.00     6.22     5000  Simply::HtmlBuilder#__tag-1
  1.01      0.13     0.09     0.00     0.04    15000  Simply::HtmlBuilder#text
  0.90      0.21     0.08     0.00     0.13     6000  Simply::HtmlBuilder#__opening_tag
  0.82      0.08     0.08     0.00     0.00    30000  Integer#chr
  0.80      9.30     0.07     0.00     9.23     6000  Kernel#instance_eval-1
  0.73      0.07     0.07     0.00     0.00     7001  Hash#each
  0.69      0.06     0.06     0.00     0.00    30000  Fixnum#<
  0.46      0.06     0.04     0.00     0.02     6000  Simply::HtmlBuilder#__closing_tag
  0.41      0.04     0.04     0.00     0.00    15000  String#<<
  0.38      1.11     0.04     0.00     1.08     1000  Simply::HtmlBuilder#title
  0.38      1.28     0.04     0.00     1.25     1000  Simply::HtmlBuilder#h1
  0.38      0.04     0.04     0.00     0.00    13218  Symbol#to_s
  0.37      0.77     0.03     0.00     0.73     1000  Simply::HtmlBuilder#a
  0.35      2.57     0.03     0.00     2.54     3000  String#to_xs
  0.30      2.17     0.03     0.00     2.14     1000  Simply::HtmlBuilder#body
  0.30      0.03     0.03     0.00     0.00    13000  Kernel#block_given?
  0.30      1.23     0.03     0.00     1.20     1000  Simply::HtmlBuilder#head
  0.30      3.52     0.03     0.00     3.49     1000  Simply::HtmlBuilder#html
  0.30      0.04     0.03     0.00     0.02     6000  Enumerable#any?
  0.29      2.66     0.03     0.00     2.63     3000  Simply::HtmlBuilder#clean_text
  0.27      2.60     0.03     0.00     2.58     3000  Simply::HtmlBuilder#html_escape
  0.23      3.48     0.02     0.00     3.46     1000  Simply::HtmlBuilder#__tag
  0.22      0.02     0.02     0.00     0.00     3000  Kernel#lambda
  0.21      0.02     0.02     0.00     0.00     9000  Array#first
  0.21      3.55     0.02     0.00     3.53     1000  Simply::HtmlBuilder#initialize
  0.16      0.02     0.02     0.00     0.00     4313  Array#join
  0.15      3.58     0.01     0.00     3.57     1000  Object#Simply
  0.14      0.01     0.01     0.00     0.00     6002  String#to_s
  0.11      0.01     0.01     0.00     0.00        2  Module#instance_methods
  0.10      0.01     0.01     0.00     0.00     3000  String#unpack
  0.10      3.53     0.01     0.00     3.52     1000  Kernel#instance_eval
  0.09      0.07     0.01     0.00     0.06     1000  Simply::HtmlBuilder#__expand_attributes
  0.09      0.02     0.01     0.00     0.01        1  Array#sort
  0.09      3.60     0.01     0.00     3.59     1004  Class#new
  0.08      0.01     0.01     0.00     0.00     3157  Array#[]
  0.07      0.01     0.01     0.00     0.00     3000  Kernel#is_a?
  0.07      0.01     0.01     0.00     0.00     3021  Array#empty?
  0.05      3.59     0.01     0.00     3.58        1  Integer#times
  0.05      0.06     0.00     0.00     0.06     1001  Enumerable#map
  0.05      0.00     0.00     0.00     0.00      109  Module#class_eval
  0.05      0.00     0.00     0.00     0.00       18  <Class::Dir>#[]
  0.04      0.00     0.00     0.00     0.00     1000  Simply::HtmlBuilder#to_s
  0.04      0.01     0.00     0.00     0.00      947  Numeric#nonzero?
  0.03      0.01     0.00     0.00     0.00      157  Gem::Specification#installation_path
  0.03      0.03     0.00     0.00     0.03        8  Array#each
  0.03      0.02     0.00     0.00     0.01      157  Gem::Specification#full_gem_path
  0.03      0.00     0.00     0.00     0.00      157  Gem::Specification#full_name
  0.02      0.00     0.00     0.00     0.00     1009  <Class::Object>#allocate
  0.02      0.00     0.00     0.00     0.00      157  String#split
  0.02      0.00     0.00     0.00     0.00      947  String#<=>
  0.02      0.00     0.00     0.00     0.00      947  Fixnum#zero?
  0.02      0.02     0.00     0.00     0.02      155  Gem::GemPathSearcher#lib_dirs_for
  0.02      0.02     0.00     0.00     0.02        5  Kernel#gem_original_require-1
  0.02      0.00     0.00     0.00     0.00      157  <Class::File>#directory?
  0.01      0.00     0.00     0.00     0.00       20  Array#select
  0.01      0.00     0.00     0.00     0.00      157  Gem::Specification#platform
  0.01      0.00     0.00     0.00     0.00      418  String#==
  0.01      0.00     0.00     0.00     0.00      177  <Class::File>#join
  0.01      0.00     0.00     0.00     0.00      158  Gem::Version#to_s
  0.01      0.00     0.00     0.00     0.00       20  Array#include?
  0.01      0.00     0.00     0.00     0.00      159  <Class::File>#dirname
  0.01      0.00     0.00     0.00     0.00      157  <Class::File>#expand_path
  0.00      0.01     0.00     0.00     0.00       18  Gem::GemPathSearcher#matching_files
  0.00      0.00     0.00     0.00     0.00       20  Gem::Version#<=>
  0.00      0.00     0.00     0.00     0.00      156  Hash#[]=
  0.00      0.00     0.00     0.00     0.00      173  Kernel#object_id
  0.00      0.00     0.00     0.00     0.00      155  String#=~
  0.00      0.00     0.00     0.00     0.00      126  Module#method_added
  0.00      3.65     0.00     0.00     3.65        1  Kernel#load
  0.00      0.07     0.00     0.00     0.07        1  Kernel#gem_original_require
  0.00      0.00     0.00     0.00     0.00       20  Array#<=>
  0.00      0.01     0.00     0.00     0.01       18  Gem::GemPathSearcher#matching_file?
  0.00      0.00     0.00     0.00     0.00        1  <Module::Gem>#activate
  0.00      0.00     0.00     0.00     0.00       18  <Module::Gem>#suffix_pattern
  0.00      0.00     0.00     0.00     0.00       32  Module#===
  0.00      0.07     0.00     0.00     0.07        4  Kernel#require-1
  0.00      0.00     0.00     0.00     0.00        1  Gem::SourceIndex#search
  0.00      0.00     0.00     0.00     0.00       21  Kernel#class
  0.00      0.00     0.00     0.00     0.00        2  Gem::Dependency#initialize
  0.00      0.00     0.00     0.00     0.00       16  Kernel#instance_variables
  0.00      0.00     0.00     0.00     0.00        1  Gem::Version#normalize
  0.00      0.00     0.00     0.00     0.00        2  <Class::Gem::Requirement>#create
  0.00      0.01     0.00     0.00     0.01        2  <Module::Builder>#check_for_name_collision
